category,date,description,name,picture,price
Getränke,2022-03-21,,"
                        Hosen Hell 0,5l
                    ",https://s7g10.scene7.com/is/image/aldi/202008270099,"
				€ 1,19
			"
Getränke,2022-03-21,"Je 0,75-l-FlascheAromatischer und vollmundiger Rotwein aus dem Familienbetrieb PerrinSeit fünf Generationen bringt die Familie Perrin all ihre Leidenschaft und Erfahrung ein, um Weine wie die von La Ferme Julien herzustellenGAMBERO ROSSO Vini d'Italia89 Punkte im falstaff Tasting 2021","
                        2020 La Ferme Julien rouge 0,75 l
                    ",https://s7g10.scene7.com/is/image/aldi/202202010056,"
				€ 4,99
			"
Getränke,2022-03-21,"Je 0,75-l-FlascheHarmonischer Rotwein cuvéeIdealer EssendbegleiterWeich am Gaumen88+ Punkte im falstaff Tasting 2021","
                        2020 Handwerk QbA 0,75 l
                    ",https://s7g10.scene7.com/is/image/aldi/202202010014,"
				€ 3,99
			"
Getränke,2022-03-21,"Je 0,75-l-FlascheRebsorte Trebbiano di Lugana","
                        Ca del Mare Lugana DOC 0,75 l
                    ",https://s7g10.scene7.com/is/image/aldi/202101280083,"
				€ 6,99
			"
Getränke,2022-03-21,"Je 0,75-l-FlaschefeinherbAnbaugebiet: Rheinhessen oder Pfalz","
                        Gewürztraminer Rhh/Pfalz QbA 0,75 l
                    ",https://s7g10.scene7.com/is/image/aldi/202101270190,"
				€ 2,49
			"
Getränke,2022-03-21,"Je 1,25-l-FlascheErfrischungsgetränkVersch. Sorten:
	","
                        Fanta® Zero 1,25 l
                    ",https://s7g10.scene7.com/is/image/aldi/202110010188,"
				€ 1,25
			"
Getränke,2022-03-21,"Je 0,5-l-DoseLeicht malzig mit einer angenehm leichten HefeblumeAusgewogen mildes und süffiges Trinkerlebnis","
                        Hacker-Pschorr Natur Radler 0,5 l
                    ",https://s7g10.scene7.com/is/image/aldi/202110260011,"
				€ 0,89
			"
Getränke,2022-03-21,Je 500-ml-DoseAus 50 % spritzigem Binding Export sowie 50 % natürlich trüber ZitronenlimonadeAb 16 Jahre,"
                        BINDING RÖMER PILS Radler 500 ml
                    ",https://s7g10.scene7.com/is/image/aldi/202107120000,"
				€ 0,69
			"
Getränke,2022-03-21,"Je 0,75-l-FlascheEin Schaumwein darf nur Champagner genannt werden, wenn er aus der französischen Weinbauregion Champagne stammt und die hohen Qualitätsanforderungen erfülltDas elegante Prickeln verdankt der erstklassige Champagner der traditionellen Gärung in der FlascheGewonnen aus Pinot noir, Pinot Meunier, ChardonnayZu feierlichen Anlässen, als Aperitif und zu MeeresfrüchtenEin Tropfen für besondere AnlässeWeinstil: Schaumwein","
                        VEUVE MONSIGNY Champagner AC Brut 0,75 l
                    ",https://s7g10.scene7.com/is/image/aldi/202104270003,"
				€ 12,99
			"
Getränke,2022-03-21,"Je 0,7-l-FlascheTypisch im Schwarzwald40 % vol.Versch. Sorten:
	","
                        MITTERHOF Schwarzwälder Edelobstbrand 0,7 l
                    ",https://s7g10.scene7.com/is/image/aldi/202110010288,"
				€ 9,99
			"
Getränke,2022-03-21,"Je 1,5-l- FlascheKoffeinhaltiges Erfrischungsgetränk","
                        River Cola Classic 1,5 l
                    ",https://s7g10.scene7.com/is/image/aldi/202202090118,"
				€ 0,45
			"
Getränke,2022-03-21,"Je 0,75-l-FlascheRebsorte: NebbioloGeschmacksrichtung: TrockenHerkunft: Piemont, Italien","
                        Barolo DOCG 0,75 l
                    ",https://s7g10.scene7.com/is/image/aldi/202112100314,"
				€ 8,99
			"
Getränke,2022-03-21,"Aromatisch und fruchtbetontWeinstil: Weißwein stillTrinktemperatur: 16 – 18 °CAnbaugebiet: ElsassRebsorte: GewürztraminerDer Wein passt gut zu folgenden Speisen:
	0,75-l-Flasche","
                        Exquisite Collection Gewürztraminer Vin d'Alsace AOP 0,75l
                    ",https://s7g10.scene7.com/is/image/aldi/202008270066,"
				€ 4,99
			"
Getränke,2022-03-21,,"
                        Jever Fun 0,5l
                    ",https://s7g10.scene7.com/is/image/aldi/202009030090-1,"
				€ 0,79
			"
Getränke,2022-03-21,"Je 0,75-l-FlascheAus Italien","
                        Bio-Pinot Grigio delle Venezie DOC 0,75 l
                    ",https://s7g10.scene7.com/is/image/aldi/202105110006,"
				€ 2,99
			"
Getränke,2022-03-21,,"
                        BURGENTALER Korn 0,7 l
                    ",https://s7g10.scene7.com/is/image/aldi/202009080456,"
				€ 4,49
			"
Getränke,2022-03-21,,"
                        Mönchshof Hell 0,5l
                    ",https://s7g10.scene7.com/is/image/aldi/202009030091,"
				€ 0,89
			"
Kühlung & Tiefkühlkost,2022-03-21,Aromatisch-würzigAus bester Weidemilch - in ScheibenNach traditionellem holländischen RezeptWiederverschließbar175-g-Packung,"
                        Molenland Noordholland Premiumkäse Gouda mittelalt 175g
                    ",https://s7g10.scene7.com/is/image/aldi/202008210650,"
				€ 1,99
			"
Getränke,2022-03-21,"Hergestellt wird er aus weißen und roten Trauben.Weinstil: Roséwein stillTrinktemperatur: 8 – 10 °CGeschmack: halbtrockenAnbaugebiet: FrankenHerkunft: DeutschlandDer Wein passt gut zu folgenden Speisen
	","
                        Franken Rotling QbA 1l
                    ",https://s7g10.scene7.com/is/image/aldi/202104210020,"
				€ 3,49
			"
Kühlung & Tiefkühlkost,2022-03-21,Je 90-g-Packung,"
                        ALMARE Räucherlachs, Mini-Pack 90 g
                    ",https://s7g10.scene7.com/is/image/aldi/202101130339,"
				€ 1,99
			"
Kühlung & Tiefkühlkost,2022-03-21,Cremig-frischAus bester Weidemilch - in ScheibenNach traditionellem holländischen RezeptWiederverschließbar200-g-Packung,"
                        Molenland Noordholland Premiumkäse Gouda jung
                    ",https://s7g10.scene7.com/is/image/aldi/202008210651,"
				€ 1,99
			"
Kühlung & Tiefkühlkost,2022-03-21,Je 150-g-Packung,"
                        Gut Drei Eichen Bierschinken 150 g
                    ",https://s7g10.scene7.com/is/image/aldi/202011120035,"
				€ 0,99
			"
Kühlung & Tiefkühlkost,2022-03-21,Herzhaft-süßlicher GeschmackAus bester Weidemilch - in ScheibenNach traditionellem holländischen RezeptWiederverschließbar150-g-Packung,"
                        Molenland Noordholland Premiumkäse Meisterauslese herzhaft-süßlich 150g
                    ",https://s7g10.scene7.com/is/image/aldi/202008210649,"
				€ 1,99
			"
Kühlung & Tiefkühlkost,2022-03-21,"Verschiedene Sorten:
	Cremiger JoghurtKnuspriges Topping in separatem FachEin Hochgenuss für kleine und große Joghurt-FansAus der Kühlung175-g-Becher","
                        Desira Joghurt Crisp 175g
                    ",https://s7g10.scene7.com/is/image/aldi/202008210285,"
				€ 0,29
			"
Kühlung & Tiefkühlkost,2022-03-21,"Je 250-g-PackungVersch. Sorten:
	","
                        HOFBURGER Schmelzscheiben 250 g
                    ",https://s7g10.scene7.com/is/image/aldi/202112100283,"
				€ 1,19
			"
Kühlung & Tiefkühlkost,2022-03-21,"Je 400-g-PackungJe 4 x 100 gVersch. Sorten:
	","
                        MILSANI Frucht-Junior 400 g
                    ",https://s7g10.scene7.com/is/image/aldi/202105270172,"
				€ 0,79
			"
Kühlung & Tiefkühlkost,2022-03-21,Je 500-g-PackungHervorragend geeignet für Bolognese-SauceAus der KühlungMade in Germany,"
                        meine METZGEREI Rinder-Hackfleisch 500 g
                    ",https://s7g10.scene7.com/is/image/aldi/202009030021-1,"
				€ 3,29
			"
Kühlung & Tiefkühlkost,2022-03-21,Je 1-l-PackungVersch. Sorten,"
                        Mucci Premium Eisschale 1 l
                    ",https://s7g10.scene7.com/is/image/aldi/202105100919,"
				€ 1,79
			"
Kühlung & Tiefkühlkost,2022-03-21,Je 200-g-Packung,"
                        ALMARE Räucherlachs 200 g
                    ",https://s7g10.scene7.com/is/image/aldi/202101130331,"
				€ 3,99
			"
Kühlung & Tiefkühlkost,2022-03-21,Je 200-g-BecherMindestens 30 % FettWärmebehandeltIdeal für Saucen und Desserts,"
                        milfina Schlagsahne 200g
                    ",https://s7g10.scene7.com/is/image/aldi/202009080414,"
				€ 0,65
			"
Kühlung & Tiefkühlkost,2022-03-21,"200-g-BecherVersch. Sorten:
	","
                        MILSANI Premium-Joghurt 200 g
                    ",https://s7g10.scene7.com/is/image/aldi/202111260055,"
				€ 0,34
			"
Kühlung & Tiefkühlkost,2022-03-21,Je 100-g-Packung,"
                        Gut Drei Eichen Schweinebraten/ Krustenschinken 100 g
                    ",https://s7g10.scene7.com/is/image/aldi/202011120037,"
				€ 1,19
			"
Kühlung & Tiefkühlkost,2022-03-21,Je 1-l-Packung,"
                        MILSANI Laktosefreie² H-Milch 1 l
                    ",https://s7g10.scene7.com/is/image/aldi/202111030066,"
				€ 0,99
			"
Kühlung & Tiefkühlkost,2022-03-21,Ohne KnochenIdeal für klassische RinderbrüheFrisch aus der Kühlung500-g-Packung,"
                        meine METZGEREI Frisches Suppenfleisch 500g
                    ",https://s7g10.scene7.com/is/image/aldi/202009030048-1,"
				€ 4,49
			"
