description,name,price
Je 190-g-GlasFür die Kleinsten und exklusiv bei ALDI SÜD:,"
                        MAMIA BIO Bio-Erdbeere in Apfel-Banane 190 g 
                    ","
				€ 0,65
			"
Je 190-g-PackungFür die Kleinsten und exklusiv bei ALDI SÜD:,"
                        MAMIA BIO Bio-Apfel-Mango 190 g
                    ","
				€ 0,65
			"
Je 190-g-Glas,"
                        MAMIa BIO Bio Birne pur 190 g
                    ","
				€ 0,65
			"
Verschiedene Sorten:Aus reinem HartweizengrießMit zwei frischen Hühnereiern aus Bodenhaltung pro Kilogramm Hartweizengrieß500-g-Packung,"
                        LANDFREUDE Frischei-Nudeln 500 g
                    ","
				€ 0,79
			"
"Je 550-g-GlasAbtropfgewicht 300 gFür den originalen Hot-Dog-Genuss in ein Brötchen legen, der Länge nach mit Ketchup, Remoulade und Senf würzen sowie mit Röstzwiebeln und Gurkenscheiben garnieren","
                        AMERICAN Hot-Dog-Würstchen 550 g
                    ","
				€ 1,69
			"
Je 500-g-PackungMit frisch aufgeschlagenen Eiern,"
                        Tress Hausmacher Schabspätzle 500 g
                    ","
				€ 1,99
			"
Je 250-g-Packung,"
                        MAMIA BIO Bio-Getreidebrei Hafer 250 g
                    ","
				€ 1,19
			"
Je 250-g-Packung ,"
                        MAMIA BIO Bio-Getreidebrei 7-Korn 250 g
                    ","
				€ 0,99
			"
Je Packung,"
                        MAMIA Baby Feuchttücher 99 % Wasser 
                    ","
				€ 1,65
			"
"Je 340-ml-PackungVersch. Sorten: 
	","
                        DELIKATO Sauce Hollandaise 340 ml
                    ","
				€ 1,29
			"
"Je 0,5-l-Flasche","
                        HEINZ Tomatenketchup 0,5 l
                    ","
				€ 2,49
			"
Je 500-ml-FlascheCUCINA NOBILE: Unsere Marke für traditionellen italienischen Genuss nach Original-Rezepten,"
                        CUCINA NOBILE Natives Olivenöl extra, DOP Terra di Bari 500 ml
                    ","
				€ 3,99
			"
"Je 104-g-PackungBesonders lange geröstetBlend aus Robusta- und Arabica-BohnenSehr intensiver, herzhafter GeschmackFür Kapselmaschinen von Nespresso20 Kapseln à 5,2 g0,15 EUR/ Tasse","
                        Jacobs Kapseln Lungo Intenso 8 104 g
                    ","
				€ 3,99
			"
Je 1-kg-Packung,"
                        LAVAZZA Caffè Crema Classico ganze Bohne 1 kg
                    ","
				€ 14,99
			"
"Je 200-g-PackungVersch. Sorten:
	","
                        NESCAFE Gold 200 g
                    ","
				€ 9,99
			"
"Je 180-g-GlasGOURMET FINEST CUISINE: Unsere Marke für festliche Köstlichkeiten und besondere Spezialitäten in herausragender Qualität. Unser Saison-Genuss, ab sofort wieder in deiner FilialeVersch. Sorten:
	","
                        GOURMET FINEST CUISINE Chutney 180 g
                    ","
				€ 0,99
			"
Je 425-ml-Dose (Abtropfgewicht 255 g),"
                        KING’S CROWN Kidneybohnen 425 g
                    ","
				€ 0,59
			"
Je 1-kg-PackungKaffee: Rainforest Alliance-zertifiziert,"
                        TIZIO Caffè Crema 1 kg
                    ","
				€ 9,99
			"
Je 1-kg-Packung,"
                        MINGES Kaffeespezialitäten 1 kg
                    ","
				€ 9,99
			"
"Je 1,5-l-FlascheVersch. Sorten:
	","
                        Westminster Eistee 1,5 l
                    ","
				€ 0,49
			"
Je 1-kg-Packung,"
                        Lavazza Crema e Aroma ganze Bohne 1 kg
                    ","
				€ 14,99
			"
"Je PackungJe 10 Kapseln à 5,5 g0,15 €/TasseNespresso®-kompatibelHochwertige Aluminium Kapsel","
                        AMAROY Aluminium Kaffeekapseln Lungo Crema 55 g
                    ","
				€ 1,49
			"
"Je StückGeeignet für EXPRESSI KapselnProgrammierbare TassenfüllmengeAbschaltautomatikBrühsystem mit 19-bar-Hochleistungspumpe, mit SpülfunktionReduzierte Brühtemperatur für Milch-SpezialitätenEinfache Bedienung","
                        EXPRESSI Kapselmaschine ""Square Titan""
                    ","
				€ 59,99
			"
Je 330-ml-Dose,"
                        Red Bull Sugarfree 330 ml 
                    ","
				€ 1,59
			"
1-kg-PackungGanze BohneBio-Kaffee aus fairem Handel,"
                        AMAROY Bio-Fairtrade Caffè Crema 1 kg
                    ","
				€ 10,49
			"
"Je 0,5-l-Dose","
                        Wulle Vollbier Hell 0,5 l
                    ","
				€ 0,89
			"
"Je 0,5-l-DoseAlkoholgehalt: 4,8 % Vol.","
                        Bitburger Premium Pils 0,5 l
                    ","
				€ 0,79
			"
"Klassisches Pils aus deutscher Brauerei-TraditionFrisch und einzigartig im GeschmackAlkoholgehalt: 4,9 % Vol.0,5-l-Dose","
                        Beck's Pils 0,5 l
                    ","
				€ 0,89
			"
Halbtrockener Weißwein vom Atlantik – einfach Meer erleben.Weinstil: Weißwein stillTrinktemperatur: 8 – 10 °CGeschmack: halbtrockenAnbaugebiet: AtlantiqueHerkunft: FrankreichRebsorte: Sauvignon Blanc,"
                        Sauvignon Blanc Atlantique IGP 0,75l
                    ","
				€ 2,49
			"
"Je 0,7-l-FlascheBesonders reiner Kentucky Straight WhiskeyNur ein aus einer einzigen Destillerie kommender Whiskey darf den Zusatz „Straight“ tragenGeschätzt seit 1866Reiner, charaktervoller, aber dennoch milder GeschmackPur und auf Eis ein GenussSchmeckt köstlich auch als Longdrink mit Bitter Lemon, Fruchtsaft oder Cola","
                        CLARKE‘S Bourbon Whiskey 0,7 l
                    ","
				€ 7,99
			"
"Verschiedene Sorten:
	Niedlich, handlich und perfekt für ein Glas vollen WeingenussFür jeden Geschmack im Miniformat0,25-l-Flasche","
                        Merlot Chile 0,25l
                    ","
				€ 0,99
			"
"Aus Wasser, Gerstenmalz und HopfenextraktHergestellt in DeutschlandAlkoholgehalt: 4,9 % Vol.Ab 16 Jahren0,5-l-Dose","
                        Binding Römer Pilsener 0,5l
                    ","
				€ 0,69
			"
"Je 0,75-l-Flasche87+ Punkte im falstaff Tasting 2022","
                        OHH! POITOU Sauvignon blanc AOP 0,75 l
                    ","
				€ 5,49
			"
Je 700-ml-Flasche,"
                        Applepitsch 700 ml
                    ","
				€ 5,99
			"
Je 500-ml-DoseAus 50 % spritzigem Binding Export sowie 50 % natürlich trüber ZitronenlimonadeAb 16 Jahre,"
                        BINDING RÖMER PILS Radler 500 ml
                    ","
				€ 0,69
			"
"Je 0,7-l-FlascheAlkoholgehalt: 17 % vol.Ab 18 Jahren","
                        FLIMM Waldmeister 0,7 l
                    ","
				€ 5,99
			"
"Je 0,75-l-FlascheAus der bekannten Weinbauregion Rhône in Frankreich","
                        La Ferme Julien Blanc 0,75 l
                    ","
				€ 4,99
			"
"Je 0,5-l-DoseAlkoholfrei","
                        SCHULTENBRÄU Weißbier, alkoholfrei 0,5 l
                    ","
				€ 0,39
			"
"Je 0,75-l-Flasche","
                        MARIO COLLINA Primitivo Rosato Puglia IGT 0,75 l
                    ","
				€ 2,49
			"
Je 700-ml-FlascheAlkoholgehalt: 30 %Ab 18 Jahren,"
                        RHEINDAHLENER Eisenbahner 700 ml
                    ","
				€ 8,49
			"
"Je 0,7-l-FlascheAb 18 Jahren40 % vol.Genießen Sie den Liqueur d'Orange gekühlt pur oder auf Eis. Auch zur Verfeinerung von Eiscreme oder Süßspeisen","
                        Liqueur d´Orange Triple Sec 0,7 l
                    ","
				€ 7,99
			"
Die Komposition deutscher Rieslingweine verleiht diesem Sekt seine Finesse und Eleganz.Die Geschmacksangabe „extra tocken“ betont die weinige Rieslingnote dieser noblen Cuvée.Weinstil: SektTrinktemperatur: 6 – 8 °CGeschmack: trockenHerkunft: DeutschlandRebsorte: Riesling,"
                        Erlenbrunn Riesling Deutscher Sekt Extra Trocken 0,75l
                    ","
				€ 3,79
			"
"Dieser trockene Müller-Thurgau, oft auch Rivaner genannt, zählt zu den wichtigsten deutschen Weißweinrebsorten.Geschmacklich ist er lebendig und unkompliziert und zeichnet sich als „everybody‘s darling“ aus.Durch seinen ausgewogenen Körper passt er hervorragend zu vielen aromatischen Speisen.Weinstil: Weißwein stillTrinktemperatur: 9 – 11 °CGeschmack: trockenAnbaugebiet: Rheinhessen oder Pfalz","
                        Müller-Thurgau QbA Rhh./Pfalz 1l
                    ","
				€ 1,99
			"
"Je 0,75-l-FlascheAb 18 JahrenUrsprungsland: Portugal","
                        BELLMAN Tawny Port Portwein 0,75 l
                    ","
				€ 5,99
			"
"Je 0,5-l-DoseAb 16 Jahren7 % vol.","
                        SCHULTENBRÄU Winterbock 0,5 l
                    ","
				€ 0,49
			"
"Je 0,5-l-DoseAb 16 Jahren","
                        PAULANER Münchener Helles 500 ml
                    ","
				€ 0,79
			"
"Je 0,75-l-FlascheSTOLZENFELS: Unsere Marke für prickelnden Genuss zu den schönsten Anlässen des LebensVersch. Sorten:
	","
                        STOLZENFELS Sekt 0,75 l
                    ","
				€ 2,59
			"
"Die Trendrebsorte Primitivo – zu Deutsch die „früh reifende“ Rebsorte – findet in Apulien, am Absatz des italienischen Stiefels, ideale Anbaubedingungen vor.Dieser halbtrockene und vollmundige Rotwein wurde nach einem traditionellen Verfahren doppelt mit Beerenschalen von getrockneten Trauben vergoren.Er verzaubert mit seinem samtigen und weichen Geschmack.Weinstil: Rotwein stillTrinktemperatur: 16 – 18 °CGeschmack: halbtrockenAnbaugebiet: Apulien","
                        Doppio Tratto Primitivo Puglia 0,75l IGT
                    ","
				€ 3,79
			"
"Je 0,5-l-DoseAb 16 JahrenMild, malzaromatisch und genauso erfrischendDas ausgewogene Flavour verdankt das Warsteiner Brewers Gold einem ganz besonderem Hopfen - dem Brewers Gold","
                        WARSTEINER Brewers Gold 0,5 l
                    ","
				€ 0,79
			"
"Je 0,75-l-FlascheRebsorte: NebbioloGeschmacksrichtung: TrockenHerkunft: Piemont, Italien","
                        Barolo DOCG 0,75 l
                    ","
				€ 8,99
			"
Je 500-ml-Dose,"
                        KARLSBERG Pils Alkoholfrei 500 ml
                    ","
				€ 0,75
			"
Je 330-ml-Dose,"
                        Coca-Cola® 330 ml
                    ","
				€ 0,69
			"
"Je 0,5-l-Flasche","
                        New Western Dry Gin 0,5 l
                    ","
				€ 29,99
			"
"Je 0,75-l-FlascheVersch. Sorten:
	","
                        rio d’oro® Saft-Limo 0,75 l
                    ","
				€ 0,49
			"
Je 500-ml-Dose,"
                        Hoepfner Pilsner 500 ml
                    ","
				€ 0,89
			"
"Je 0,5-l-DoseLeicht malzig mit einer angenehm leichten HefeblumeAusgewogen mildes und süffiges Trinkerlebnis","
                        Hacker-Pschorr Natur Radler 0,5 l
                    ","
				€ 0,89
			"
"Der Klassiker aus der Stuttgarter Hofbräu BrauereiWürzig-frisch im GeschmackStammwürze: 11,5 %Alkoholgehalt: 4,9 % Vol.Ab 16 Jahren0,5-l-Dose","
                        Stuttgarter Hofbräu Pilsener 0,5l
                    ","
				€ 0,79
			"
Einzigartiger Geschmack durch besondere Gewürzrezeptur mit PaprikaPikant und kross175-g-Beutel,"
                        funny-frisch Chipsfrisch ungarisch 175 g
                    ","
				€ 1,69
			"
"Je 5 x 25 g = 125-g-PackungMOSER ROTH: Seit 1896 steht der Name Moser Roth für exquisiten Schokoladen-Genuss und edle KompositionenVersch. Sorten:
	","
                        MOSER ROTH Premium-Schokolade 125 g
                    ","
				€ 1,09
			"
Lockere Milchcreme umhüllt von zartschmelzender VollmilchschokoladeIdeal für zwischendurch und unterwegs10-Riegel-Packung,"
                        Kinder Riegel 10 Riegel
                    ","
				€ 2,19
			"
"Verschiedene Sorten:
	Goldbrauner Butterkeks und feine Creme umhüllt von zarter Edel-Vollmilchschokolade300-g-Packung","
                        Choceur Choco und Keks 300g
                    ","
				€ 1,79
			"
Je 400-g-PackungZwei knackige Kekse mit zartschmelzender KakaocremefüllungMit praktischer wiederverschließbarer VerpackungIdeal für zwischendurch und unterwegs,"
                        DeBeukelaer Prinzenrolle 400 g
                    ","
				€ 1,49
			"
Köstliche Schnitte aus zwei knackigen Waffeln mit einer Füllung aus zartschmelzender Kakaocreme mit HaselnussstückchenIdeal für zwischendurch und unterwegs220-g-Packung,"
                        hanuta Haselnuss-Schnitte 220 g
                    ","
				€ 2,19
			"
Verschiedene Sorten:Mit Vitaminen und Fruchtsaft250-g-Beutel,"
                        nimm2 Lachgummi Frucht & Joghurt 250g
                    ","
				€ 0,99
			"
Erleben Sie spanisches Temperament in der praktischen 3-Liter-Bag-in-Box.Mit diesem trockenen Rotwein aus der beliebten Traubensorte Syrah sind Sie bestens gerüstet für die nächste Party.Fruchtbetont und vollmundig im AbgangNach Anbruch ist der Wein bis zu 4 Wochen haltbar.Weinstil: Rotwein stillTrinktemperatur: 16 – 18 °CGeschmack: trocken,"
                        Bag-in-Box Syrah IGP trocken 3l
                    ","
				€ 4,99
			"
Dieser Wein überzeugt mit seinem feinfruchtigen Charakter und wunderbarer Balance. Ein fantastischer Begleiter zu feinen Fischgerichten oder zu kalten Vorspeisen.Weinstil: Weißwein stillTrinktemperatur: 9 – 11 °CGeschmack: trockenAnbaugebiet: FrankenHerkunft: DeutschlandRebsorte: Silvaner,"
                        Franken Silvaner Kabinett 0,75l
                    ","
				€ 3,99
			"
"Je 0,5-l-Dose","
                        Früh Kölsch 0,5 l
                    ","
				€ 0,89
			"
"Den Duft prägen Aromen von Mirabellen und Zitrusnoten, am Gaumen zeigt er einen ausgewogenen Geschmack mit einer feinen Säure.Er passt hervorragend zu hellem Fleisch, Fischen und Meeresfrüchten sowie zu elsässischer Küche.Weinstil: Weißwein stillTrinktemperatur: 9 – 11 °CGeschmack: trockenAnbaugebiet: ElsassHerkunft: Frankreich","
                        Riesling Vin d'Alsace AOP 0,75l
                    ","
				€ 3,99
			"
"Mit ihren sonnigen, steil zum Neckar abfallenden Weinbergen zählt die Weinregion Stuttgart zur Spitzenklasse der Württemberger Weinlagen.Milde Jahrestemperaturen begünstigen den Weinbau und bringen Weine höchster Qualität hervor, wie auch diesen feinfruchtig-eleganten und kraftvollen Trollinger.Weinstil: Rotwein stillTrinktemperatur: 16 – 18 °CGeschmack: trockenAnbaugebiet: WürttembergHerkunft: Deutschland","
                        Trollinger Württemberg QbA aus der Lage Stuttgarter Weinsteige 0,75l
                    ","
				€ 3,99
			"
Diese Württemberger Weißwein aus der Rebsorten Riesling überzeugt mit fruchtigem Geschmack.Ein echter Genuss im Glas! Nicht nur zum „Vierteles schlozen“.Weinstil: Weißwein stillTrinktemperatur: 9 – 11 °CGeschmack: halbtrockenAnbaugebiet: WürttembergHerkunft: Deutschland,"
                        COLLECTION WÜRTTEMBERG Riesling Qualitätswein QbA 1l
                    ","
				€ 2,89
			"
"Die Qualitätsbezeichnung „Classic“ wird ausschließlich bei Weinen aus gebietstypischen, klassischen Rebsorten von gehobener Qualität verwendet. Dieser charaktervolle Riesling erfüllt in vollem Umfang diesen Qualitätsanspruch.Weinstil: Weißwein stillTrinktemperatur: 9 – 11 °CGeschmack: halbtrockenAnbaugebiet: Rheinhessen oder PfalzHerkunft: DeutschlandRebsorte: Riesling","
                        Riesling Classic Rheinhessen/Pfalz QbA 0,75l
                    ","
				€ 2,49
			"
"Je 0,5-l-DoseUntergäriges Pils aus TraditionsbrauereiFeinherb im GeschmackStammwürze: 11,5%Alkoholgehalt: 4,9 % Vol.Ab 16 Jahren","
                        Licher Pilsner 0,5 l
                    ","
				€ 0,89
			"
"Je 0,7-l-FlascheKöstliche Likörspezialität aus ItalienUnwiderstehliches Mandel-AromaWunderbar geeignet für Cocktails und Kaffeemischgetränke21,5 % vol.Ab 18 JahrenHerkunft: Italien","
                        RAVINI Amaretto 0,7 l
                    ","
				€ 4,29
			"
"Je 0,5-l-Dose","
                        Löwenbräu Original 0,5 l
                    ","
				€ 0,79
			"
Verschiedene Sorten:Abwechslungsreicher Naschspaß in frecher Lachgesichter-Form225-g-Beutel,"
                        nimm2 Lachgummi Apfellinge 225g
                    ","
				€ 0,99
			"
"Das Anbaugebiet Nahe entlang des gleichnamigen Flusses zählt flächenmäßig zu den kleineren deutschen Weinanbaugebieten.Auf den Schieferböden findet die anspruchsvolle Rieslingtraube perfekte Bedingungen vor, um ihre Potentiale hinsichtlich Mineralität und Fruchtaromatik zu entfalten.Weinstil: Weißwein stillTrinktemperatur: 9 – 11 °CGeschmack: feinherbAnbaugebiet: NaheHerkunft: Deutschland","
                        Riesling Nahe QbA 0,75l
                    ","
				€ 2,79
			"
"Mild-hopfig im GeschmackMit weichem Brauwasser gebrautAus Hallertauer Hopfen und SommergerstenmalzBrautradition seit über 260 JahrenAlkoholgehalt: 4,8% Vol.Ab 16 Jahren0,5-l-Dose","
                        Warsteiner Pils 0,5l
                    ","
				€ 0,79
			"
"Dunkles SpezialmalzIn feiner BernsteinfarbeObergärige BrauartPasst perfekt zu Fleischgerichten oder soloAlkoholgehalt: 4,9 % Vol.Ab 16 Jahren0,5-l-Dose","
                        Diebels Altbier 0,5l
                    ","
				€ 0,75
			"
"Geröstete Haselnüsse in Karamell, lockere Milch- und Nugatcreme sowie knackige Waffeln umhüllt von zarter VollmilchschokoladeIdeal für zwischendurch und unterwegs200-g-Packung","
                        5x Knoppers NussRiegel 200g
                    ","
				€ 1,99
			"
Verschiedene Sorten:Mit Fruchtsaft und VitaminenKöstliche Bonbons mit fruchtiger FüllungIm großen Familien-PackZum Naschen zwischendurchHergestellt in Deutschland345-g-Packung,"
                        nimm2 softBrause Maxi Pack 345g
                    ","
				€ 1,99
			"
Zartschmelzende SchokoladenumhüllungWeicher Karamellkern180-g-Beutel,"
                        Werther's Original Schoko Toffees 180g
                    ","
				€ 1,59
			"
Kern aus weichem KaramellUmhüllt von zartschmelzender Schokoladenschicht153-g-Beutel,"
                        Werther's Original Schokoladen-Spezialität Karamell 153g
                    ","
				€ 1,59
			"
"Verschiedene Sorten:Intensiver GeschmackZahnpflege-KaugummiPerfekt nach dem Essen28 Stück, 2 x 14 Mini-Streifen","
                        Wrigley's Extra Professional 28 Stück
                    ","
				€ 1,79
			"
Zartschmelzender Bonbon-Genuss245-g-Beutel,"
                        Werther's Original Sahnebonbons 245g
                    ","
				€ 1,59
			"
"Je 100-g-PackungFeine, zartschmelzende VollmilchschokoladeBeste ZutatenVolles Schokoladenaroma","
                        Choceur Vollmilch Schokolade 100 g
                    ","
				€ 0,49
			"
Mit Fruchtsaft und VitaminenNaschvergnügen für kleine und große LeutePraktische FamilienpackungHergestellt in Deutschland429-g-Packung,"
                        nimm2 Orangen-und Zitronenbonbons mit Vitaminen Familienpackung 429g
                    ","
				€ 1,99
			"
"Köstliche Schnitte aus knackigen Waffeln, nussiger Nugatcreme, lockerer Milchcreme und zarter VollmilchschokoladeIdeal für zwischendurch und unterwegs8-Stück-Packung","
                        Storck Knoppers Milch-Haselnuss-Schnitte 8 Stk.
                    ","
				€ 1,89
			"
Zartschmelzende Nugatcreme und knackige Waffeln umhüllt von köstlicher VollmilchschokoladeIdeal für zwischendurch und unterwegs10-Riegel-Packung,"
                        Ferrero duplo 10 Riegel
                    ","
				€ 2,19
			"
Verschiedene Sorten:Knuspriger Puffreis umhüllt von zarter Schokolade250-g-Packung,"
                        Sun Rice Schoko Happen 250g
                    ","
				€ 1,29
			"
Verschiedene Sorten:Ideal für zwischendurch und unterwegs9-Stück-Packung,"
                        Balisto Schokoriegel 166,5g
                    ","
				€ 1,79
			"
Je 200-g-Packung,"
                        Pringles 200 g
                    ","
				€ 2,59
			"
Je 300-g-PackungJe 6 Stück,"
                        Get it/Peanut Bits/Race 300 g
                    ","
				€ 1,15
			"
Je 125-g-Packung,"
                        HUOBER Prinzess Brezel 125 g
                    ","
				€ 1,19
			"
Je 175-g-PackungOSTERPHANTASIE: Unsere Marke für süße Leckereien zur Osterzeit. Festliche Vielfalt mit hochwertigen Zutaten: ein Genuss für Groß und Klein,"
                        OSTERPHANTASIE Marzipan-Ei 175 g
                    ","
				€ 0,99
			"
Je 250-g-Packung Je 5 Stück,"
                        Snickers®/Twix® 250 g
                    ","
				€ 1,89
			"
"Je RöhrchenJe 20 StückMit SüßungsmittelnVerzehrempfehlung: 1 x täglich eine Brausetablette in einem Glas (200 ml) auflösen und trinkenNahrungsergänzungsmittel sind kein Ersatz für eine ausgewogene und abwechslungsreiche Ernährung und eine gesunde LebensweiseVITALIS: unsere Marke für die effektive Hausapotheke, z. B. zur Prophylaxe oder zur ersten Behandlung von kleinen Blessuren. Ideal für unterwegs und auf Reisen","
                        VITALIS® Vitamin C 120 mg Brausetabletten
                    ","
				€ 0,35
			"
"Knusprig und leckerMit süßem Honig-GeschmackIdeal mit Milch, Fruchtsäften, Joghurt oder frischen FrüchtenMit Wiederverschlussetikett am Beutel750-g-Packung","
                        Knusperone Honey Wheat 750g
                    ","
				€ 1,99
			"
Je 330-ml-Dose,"
                        Red Bull 330 ml
                    ","
				€ 1,59
			"
"Je 0,5-l-Dose","
                        GAFFEL Gaffels Fassbrause 0,5 l
                    ","
				€ 0,89
			"
"Je 0,5-l-Dose","
                        Erdinger Alkoholfrei 0,5 l
                    ","
				€ 0,89
			"
"Knusprig und schokoladigVielseitig zum Frühstück servierbarSchmeckt hervorragend mit Milch, Fruchtsäften, Joghurt und frischen Früchten750-g-Packung","
                        Knusperone Schoko CHiPS 750g
                    ","
				€ 1,99
			"
Verschiedene Sorten:Köstliche Kekse aus SchokoladenmürbeteiggebäckBei Kindern und Erwachsenen beliebt225-g-Packung,"
                        Meine Kuchenwelt Premium Cookies 225g
                    ","
				€ 1,99
			"
"Je 400-g-PackungVersch. Sorten:
	","
                        MEINE KUCHENWELT Streuselkuchen 400 g
                    ","
				€ 1,99
			"
Je 250-g-Packung,"
                        Goldähren Nuss-Rosinen-Schwarzbrot 250 g
                    ","
				€ 1,49
			"
Je 250-g-Packung,"
                        GOLDÄHREN Knäckebrot 250 g
                    ","
				€ 0,69
			"
Je 500-g-Packung,"
                        GOLDÄHREN Buttertoast 500 g
                    ","
				€ 0,79
			"
Verschiedene Sorten:Für den knackigen Start in den Tag oder einfach für zwischendurchSchmeckt mit Milch und im Joghurt besonders gut1.000-g-Packung,"
                        Knusperone Früchte Müsli Vollkorn 1000 g
                    ","
				€ 1,59
			"
Je StückAus dem Backofen,"
                        Franzbrötchen vegan
                    ","
				€ 0,69
			"
"Je 200-g-PackungVersch. Sorten:
	","
                        GUT BIO Vitalgebäck 200 g
                    ","
				€ 1,99
			"
"Je 3 x 25-g-PackungVersch. Sorten:
	","
                        Stormy 3 x 25 g
                    ","
				€ 0,95
			"
Je 225-g-PackungJe 5 Stück,"
                        Mars® 225 g
                    ","
				€ 1,89
			"
Je 200-g-Dose,"
                        FARMER Erdnüsse 200 g
                    ","
				€ 0,99
			"
"Je 75-g-PackungVersch. Sorten:
	","
                        FUNNY-FRISCH POM-BÄR 75 g
                    ","
				€ 1,29
			"
"Je 150-g-PackungMOSER ROTH: Seit 1896 steht der Name Moser Roth für exquisiten Schokoladen-Genuss und edle KompositionenVersch. Sorten:
	","
                        MOSER ROTH Chocolat Délice 150 g
                    ","
				€ 1,39
			"
"Je 500-g-PackungVersch. Sorten:
	","
                        GUT BIO Bio-Brot 500 g
                    ","
				€ 1,79
			"
"100% ZuckerrübeIdeal als Brotaufstrich, zum Backen und Kochen450-g-Becher","
                        Grafschafter Goldsaft 450 g
                    ","
				€ 1,49
			"
"Verschiedene Sorten:Aus der Bergader PrivatkäsereiNatürlicher Fettgehalt von mindestens 51 %Mit Milch aus dem Alpen- und VoralpenlandDer ideale BrotzeitkäsePasst wunderbar zu Brot, Brötchen und Brezeln150-g-Packung","
                        Bergader Bavaria blu 150g
                    ","
				€ 1,39
			"
"Je 0,5-kg-Becher10% Fett","
                        GUT BIO Bio-Cremiger-Rahmjoghurt 0,5 kg
                    ","
				€ 1,39
			"
"Je 150-g-PackungVersch. Sorten:
	","
                        Güldenhof Hähnchenbrustfilet in Scheiben 150 g
                    ","
				€ 1,69
			"
"Natürlich im GeschmackFrisch und zartIdeal zum Braten, im Ofen und für den Grill2000-g-Packung","
                        meine METZGEREI Frische Hähnchen-Schenkel mit Rückenstück 2000g
                    ","
				€ 5,49
			"
Unvergleichlicher Geschmack von Haselnüssen und KakaoBesonders cremig für intensiven GenussNur mit sorgfältig ausgewählten Zutaten750-g-Glas,"
                        Nutella 750 g
                    ","
				€ 3,99
			"
Je 450-g-GlasUnvergleichlicher Geschmack von Haselnüssen und KakaoBesonders cremig für intensiven GenussNur mit sorgfältig ausgewählten Zutaten,"
                        FERRERO Nutella 450 g
                    ","
				€ 2,99
			"
Cremig-frischAus bester Weidemilch - in ScheibenNach traditionellem holländischen RezeptWiederverschließbar200-g-Packung,"
                        Molenland Noordholland Premiumkäse Gouda jung
                    ","
				€ 1,99
			"
"Je 200-g-PackungVersch. Sorten:
	","
                        FARMER NATURALS GeNuss-Mix 200 g
                    ","
				€ 2,99
			"
Je 150-g-PackungOSTERPHANTASIE: Unsere Marke für süße Leckereien zur Osterzeit. Festliche Vielfalt mit hochwertigen Zutaten: ein Genuss für Groß und Klein,"
                        OSTERPHANTASIE Whisky-Sahne- oder Eierlikör-Trüffel 150 g
                    ","
				€ 1,19
			"
Je 240-g-Packung,"
                        LA FINESSE Snacks 240 g
                    ","
				€ 1,79
			"
"Je 45-g-PackungMini-Reiswaffeln, ApfelMini-Maiswaffeln, Popcorn","
                        GUT bio Bio-Mini-Mais-/Reiswaffeln 45 g
                    ","
				€ 0,79
			"
Intensiver KaugenussKräftiges Schokokaramell umhüllt von dunkler Schokolade216-g-Beutel,"
                        Storck Riesen 216g
                    ","
				€ 1,49
			"
Erfrischender Pfefferminz-GeschmackMit einem Kern aus zarter Schokoladencreme439-g-Beutel,"
                        Storck Mint Chocs 439g
                    ","
				€ 1,85
			"
Erfrischend-fruchtigVier GeschmacksrichtungenLang anhaltendes und vielseitiges Lutscherlebnis335-g-Beutel,"
                        Storck Campino Früchte 335g
                    ","
				€ 1,49
			"
,"
                        Ureich Premium Pils 0,5l
                    ","
				€ 0,79
			"
,"
                        Fürstenberg Premium Pilsener 0,5l
                    ","
				€ 0,79
			"
,"
                        Pfungstädter Edel Pils Premium 0,5l
                    ","
				€ 0,79
			"
"Die Rebsorte Müller-Thurgau aus dem Weinbaugebiet Franken steht für feinfruchtigen, unkomplizierten Weingenuss in allen Lebenslagen.Weinstil: Weißwein stillTrinktemperatur: 9 – 11 °CGeschmack: trockenAnbaugebiet: FrankenHerkunft: DeutschlandRebsorte: Müller-Thurgau","
                        Franken Müller-Thurgau QbA 1l
                    ","
				€ 3,49
			"
,"
                        Hosen Hell 0,5l
                    ","
				€ 1,19
			"
Aromatisch-würzigAus bester Weidemilch - in ScheibenNach traditionellem holländischen RezeptWiederverschließbar175-g-Packung,"
                        Molenland Noordholland Premiumkäse Gouda mittelalt 175g
                    ","
				€ 1,99
			"
"Je 150-g-PackungVersch. Sorten:
	","
                        müller® Joghurt mit der Ecke 150 g
                    ","
				€ 0,69
			"
Gefüllt mit Kochschinken und EmmentalerFlüssig gewürztFür die Pfanne oder FritteuseKüchenfertig aus der Kühlung500-g-Packung,"
                        meine METZGEREI Küchenfertiges Schweine-Cordon Bleu 500g
                    ","
				€ 3,79
			"
Aus dem Schinken geschnittenKüchenfertig im FrischepackIdeal zum Braten und SchmorenAus der Kühlung500-g-Packung,"
                        meine METZGEREI Gulasch vom Schwein 500g
                    ","
				€ 3,49
			"
"Je 80-g-PackungGUT BIO: Bio-Vielfalt, die ständig wächst: Unsere Marke für beste Bio-Qualität aus kontrolliert ökologischer Erzeugung. Mit über 450 Bio-Produkten im Jahr, Tendenz steigend","
                        GUT BIO Bio-Garnelen 80 g
                    ","
				€ 2,29
			"
Je 450-g-PackungNettogewicht = Abtropfgewicht = 450-g-PackungWildfangEinzeln entnehmbar,"
                        GOURMET FINEST CUISINE Zanderfilets 450 g
                    ","
				€ 4,49
			"
